@relation classification_Ready_v2

@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute C4 numeric
@attribute C5 numeric
@attribute C6 numeric
@attribute C7 numeric
@attribute C8 numeric
@attribute C9 numeric
@attribute C10 numeric
@attribute C11 numeric
@attribute C12 numeric
@attribute C13 numeric
@attribute C14 numeric
@attribute C15 numeric
@attribute C16 numeric
@attribute C17 numeric
@attribute C18 numeric
@attribute C19 numeric
@attribute C20 numeric
@attribute C21 numeric
@attribute C22 numeric
@attribute C23 numeric
@attribute C24 numeric
@attribute C25 numeric
@attribute C26 numeric
@attribute C27 numeric
@attribute C28 numeric
@attribute C29 numeric
@attribute C30 numeric
@attribute C31 numeric
@attribute C32 numeric
@attribute C33 numeric
@attribute C34 numeric
@attribute C35 numeric
@attribute C36 numeric
@attribute C37 numeric
@attribute C38 numeric
@attribute C39 numeric
@attribute C40 numeric
@attribute C41 numeric
@attribute C42 numeric
@attribute C43 numeric
@attribute C44 numeric
@attribute C45 numeric
@attribute C46 numeric
@attribute C47 numeric
@attribute C48 numeric
@attribute C49 numeric
@attribute C50 numeric
@attribute C51 numeric
@attribute C52 numeric
@attribute C53 numeric
@attribute C54 numeric
@attribute C55 numeric
@attribute C56 numeric
@attribute C57 numeric
@attribute C58 numeric
@attribute C59 numeric
@attribute C60 numeric
@attribute C61 numeric
@attribute C62 numeric
@attribute C63 numeric
@attribute C64 numeric
@attribute C65 numeric
@attribute C66 numeric
@attribute C67 numeric
@attribute C68 numeric
@attribute C69 numeric
@attribute C70 numeric
@attribute C71 {clean,infected}

@data
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
